Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-ETHUSDT,1689189300000,1689261300000,1877.25,1888.3302594707786,-1.00,80,1,0,0,0,1,1.32,2.10
B-ETHUSDT,1691358300000,1691370900000,1830.2,1835.9925883311885,-1.00,14,1,0,0,0,1,0.65,2.38
B-ETHUSDT,1692126000000,1692305100000,1820,1709.3576344402447,8.75,199,1,0,0,0,1,5.12,0.54
B-ETHUSDT,1694304900000,1694364300000,1631.91,1610.7174102023916,8.75,66,1,0,0,0,1,7.53,0.13
B-ETHUSDT,1694392200000,1694443500000,1608.47,1552.9024593903207,5.00,57,1,0,0,0,1,5.26,0.85
B-ETHUSDT,1694966400000,1694984400000,1627.76,1612.3134211244194,8.75,20,1,0,0,1,1,5.10,0.00
B-ETHUSDT,1696170600000,1696198500000,1681.76,1691.80911402118,-1.00,31,1,0,0,0,1,1.37,6.89
B-ETHUSDT,1697409900000,1697419800000,1555.18,1565.1720508875742,-1.00,11,1,0,0,0,1,0.20,1.02
B-ETHUSDT,1698047100000,1698079500000,1676.15,1688.9300763188085,-1.00,36,1,0,1,1,1,1.08,1.36
B-ETHUSDT,1704640500000,1704715200000,2233.83,2251.445678850101,-1.00,83,1,0,0,0,1,3.83,1.96
B-ETHUSDT,1707683400000,1707696900000,2502.81,2515.8401495630496,-1.00,15,1,0,0,0,1,0.72,1.70
B-ETHUSDT,1711931400000,1711950300000,3621.09,3514.2205128782903,8.75,21,1,0,0,0,1,5.67,0.28
B-ETHUSDT,1712942100000,1716233400000,3320.74,3433.293074664529,-1.00,3657,1,0,0,0,1,4.48,1.14
B-ETHUSDT,1717691400000,1717783200000,3827.39,3687.9661541177957,8.75,102,1,0,0,0,1,8.15,0.50
B-ETHUSDT,1718005500000,1718012700000,3647.79,3674.2508716752745,-1.00,8,1,0,0,0,1,0.03,1.00
B-ETHUSDT,1719161100000,1719206100000,3463.32,3363.5737577583236,5.00,50,1,0,0,1,1,5.47,0.92
B-ETHUSDT,1719973800000,1720034100000,3372.84,3264.700318504271,8.75,67,1,0,0,0,1,5.47,0.50
B-ETHUSDT,1720054800000,1720098900000,3280.46,3097.899363451224,7.50,49,1,0,0,0,1,5.19,0.38
B-ETHUSDT,1720336500000,1720400400000,3006.81,2865.5338792915923,8.75,71,1,0,0,0,1,6.47,0.90
B-ETHUSDT,1722780000000,1722790800000,2891.4,2723.079678274329,8.75,12,1,0,0,0,1,5.20,0.15
B-ETHUSDT,1730769300000,1730771100000,2384.6,2406.45365856766,-1.00,2,1,0,0,0,1,0.18,1.33
B-ETHUSDT,1732451400000,1732486500000,3294.72,3356.6861219811967,-1.00,39,1,0,0,0,1,0.17,1.11
B-ETHUSDT,1734551100000,1734685200000,3770.29,3272.655715806145,8.75,149,1,0,0,1,1,5.11,0.16
B-ETHUSDT,1736670600000,1736690400000,3252.41,3273.3538266112787,-1.00,22,1,0,0,0,1,1.33,1.28
B-ETHUSDT,1737925200000,1737943200000,3313.78,3179.052223270779,5.00,20,1,0,0,0,1,5.56,0.22
B-ETHUSDT,1741527900000,1741598100000,2104.48,2147.575560119457,-1.00,78,1,0,0,0,1,2.66,1.11
B-ETHUSDT,1747519200000,1747543500000,2469.39,2488.841896078175,-1.00,27,1,0,0,0,1,0.83,1.02
B-ETHUSDT,1750015800000,1750038300000,2533.65,2556.371091464661,-1.00,25,1,0,0,0,1,1.83,1.13
B-ETHUSDT,1751207400000,1751235300000,2438.8,2453.1557052602197,-1.00,31,1,0,0,0,1,1.87,2.88
B-ETHUSDT,1762075800000,1762126200000,3876.99,3906.762579968343,-1.00,56,1,0,0,0,1,1.27,1.00
B-ETHUSDT,1762182900000,1762291800000,3636.79,3090.860018046052,5.00,121,1,0,0,0,1,5.31,0.42
B-ETHUSDT,1765722600000,1765728900000,3077.42,3102.508447271406,-1.00,7,1,0,0,0,1,0.28,1.21
B-ETHUSDT,1766914200000,1766919600000,2935.16,2945.5400257379933,-1.00,6,1,0,0,0,1,0.14,1.11
B-ETHUSDT,1767540600000,1767546000000,3131.21,3140.859286839495,-1.00,6,1,0,0,0,1,1.29,1.28
B-ETHUSDT,1768687200000,1768695300000,3309.78,3314.335638014605,-1.00,9,1,0,0,0,1,2.71,1.02
