Pair,EntryTime,ExitTime,EntryPrice,ExitPrice,R,DurationBars,BTC_OK,VolExpansion,FailedBounce,Rejection,LiquidationOverride,MaxFavorableR,MaxAdverseR
B-ETHUSDT,1720336500000,1720396800000,3006.81,2922.0443275749553,5.25,67,1,0,0,0,1,3.06,0.90
B-ETHUSDT,1722780000000,1722790800000,2891.4,2790.4078069645975,5.25,12,1,0,0,0,1,5.20,0.15
B-ETHUSDT,1730769300000,1730771100000,2384.6,2406.45365856766,-1.00,2,1,0,0,0,1,0.18,1.33
B-ETHUSDT,1732451400000,1732486500000,3294.72,3356.6861219811967,-1.00,39,1,0,0,0,1,0.17,1.11
B-ETHUSDT,1734551100000,1734630300000,3770.29,3471.709429483687,5.25,88,1,0,0,1,1,3.77,0.16
B-ETHUSDT,1736670600000,1736690400000,3252.41,3273.3538266112787,-1.00,22,1,0,0,0,1,1.33,1.28
B-ETHUSDT,1737925200000,1737935100000,3313.78,3232.9433339624675,3.00,11,1,0,0,0,1,3.11,0.22
B-ETHUSDT,1741527900000,1741598100000,2104.48,2147.575560119457,-1.00,78,1,0,0,0,1,2.66,1.11
B-ETHUSDT,1747519200000,1747543500000,2469.39,2488.841896078175,-1.00,27,1,0,0,0,1,0.83,1.02
B-ETHUSDT,1750015800000,1750038300000,2533.65,2556.371091464661,-1.00,25,1,0,0,0,1,1.83,1.13
B-ETHUSDT,1751207400000,1751235300000,2438.8,2453.1557052602197,-1.00,31,1,0,0,0,1,1.87,2.88
B-ETHUSDT,1762075800000,1762126200000,3876.99,3906.762579968343,-1.00,56,1,0,0,0,1,1.27,1.00
B-ETHUSDT,1762182900000,1762281000000,3636.79,3309.2320108276313,3.00,109,1,0,0,0,1,3.49,0.42
B-ETHUSDT,1765722600000,1765728900000,3077.42,3102.508447271406,-1.00,7,1,0,0,0,1,0.28,1.21
B-ETHUSDT,1766914200000,1766919600000,2935.16,2945.5400257379933,-1.00,6,1,0,0,0,1,0.14,1.11
B-ETHUSDT,1767540600000,1767546000000,3131.21,3140.859286839495,-1.00,6,1,0,0,0,1,1.29,1.28
B-ETHUSDT,1768687200000,1768695300000,3309.78,3314.335638014605,-1.00,9,1,0,0,0,1,2.71,1.02
B-ETHUSDT,1769320800000,1769357700000,2936.85,2899.3505995218275,5.25,41,1,0,0,0,1,4.84,0.90
B-XRPUSDT,1525971600000,1525995900000,0.789,0.7472290116618469,5.25,27,1,0,0,0,1,3.46,0.84
B-XRPUSDT,1527028200000,1527089400000,0.64198,0.598573030239982,4.50,68,1,0,0,0,1,3.35,0.36
B-XRPUSDT,1533595500000,1533600900000,0.40501,0.41554556059566433,-1.00,6,1,0,0,0,1,0.00,1.01
B-XRPUSDT,1533675600000,1533738600000,0.37706,0.33299462481539305,3.00,70,1,0,0,0,1,3.07,0.61
B-XRPUSDT,1539141300000,1539219600000,0.47208,0.4520639841056365,4.50,87,1,0,0,0,1,4.64,0.57
B-XRPUSDT,1539237600000,1539323100000,0.4045,0.42199247185598665,-1.00,95,1,0,0,0,1,1.58,1.34
B-XRPUSDT,1542134700000,1542188700000,0.52265,0.5024689579790088,5.25,32,1,0,0,0,1,3.22,0.50
B-XRPUSDT,1543087800000,1543094100000,0.40411,0.38716135442819016,3.00,7,1,0,0,0,1,4.20,0.16
B-XRPUSDT,1550428200000,1550442600000,0.29884,0.3023211222649,-1.00,16,1,0,0,1,1,0.07,1.23
B-XRPUSDT,1551016800000,1551119400000,0.30907,0.33458433971728657,-1.00,114,1,0,0,0,1,0.60,1.20
B-XRPUSDT,1554102900000,1554120900000,0.31184,0.31339576864424057,-1.00,20,1,0,1,1,0,0.64,1.26
B-XRPUSDT,1554129900000,1554146100000,0.31123,0.312833830523241,-1.00,18,1,0,0,0,1,0.36,1.08
B-XRPUSDT,1556540100000,1556616600000,0.29301,0.296617570180305,-1.00,85,1,0,0,0,1,0.95,1.82
B-XRPUSDT,1561482000000,1561483800000,0.45877,0.4627798217740279,-1.00,2,1,0,0,0,1,0.13,3.49
B-XRPUSDT,1568635200000,1568666700000,0.2585,0.26106977874130866,-1.00,35,1,0,0,0,1,0.72,1.05
B-XRPUSDT,1569759300000,1569772800000,0.23617,0.2377034003531882,-1.00,15,1,0,0,0,1,1.24,1.05
B-XRPUSDT,1570344300000,1570374900000,0.25148,0.2542496320330458,-1.00,34,1,0,0,0,1,0.31,1.09
B-XRPUSDT,1574553600000,1574606700000,0.23242,0.225792766303964,5.25,59,1,0,0,0,1,3.61,0.21
B-XRPUSDT,1576454400000,1576467000000,0.21681,0.21407505474246696,5.25,14,1,0,0,0,1,3.98,0.29
B-XRPUSDT,1576486800000,1576504800000,0.21288,0.21399395190326806,-1.00,20,1,0,0,0,1,2.06,1.18
B-XRPUSDT,1576520100000,1576521000000,0.21081,0.20207241168891693,3.00,1,1,0,0,0,1,3.02,0.02
B-XRPUSDT,1583625600000,1583678700000,0.23398,0.22551377716114482,4.50,59,1,0,0,0,1,3.26,0.00
B-XRPUSDT,1583946000000,1583959500000,0.20333,0.20686643938855678,-1.00,15,1,0,0,0,1,1.22,1.14
B-XRPUSDT,1583985600000,1584009900000,0.19087,0.1600758284635577,5.25,27,1,0,0,0,1,4.77,0.56
B-XRPUSDT,1588085100000,1588089600000,0.20511,0.20840641688913278,-1.00,5,1,0,0,1,1,0.11,1.03
B-XRPUSDT,1595427300000,1595429100000,0.19746,0.19824090205420283,-1.00,2,1,0,0,0,1,0.27,1.93
B-XRPUSDT,1596286800000,1596297600000,0.26596,0.27175939491474965,-1.00,12,1,0,0,0,1,0.81,1.21
B-XRPUSDT,1601805600000,1601815500000,0.2323,0.23427371597141292,-1.00,11,1,0,0,1,1,0.18,2.89
B-XRPUSDT,1604304900000,1604372400000,0.23892,0.23031651772295664,3.00,75,1,0,0,0,1,3.11,0.19
B-XRPUSDT,1605848400000,1605872700000,0.29841,0.30418885225496856,-1.00,27,1,0,0,0,1,0.28,1.05
